Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,19.153415322303772,21.002237905480424,0.3617843994779162
s1,World GVC,-0.9968353621079586,2.1723735321063793,0.6463280787957328
s2,transport,-27.50361115951091,62.62728875909869,0.6605431649066646
s2,World GVC,0.7131611991244426,1.2830133580625287,0.5783143477482111
s6,transport,15.091875080484897,15.424130516634278,0.32784749578502215
s6,World GVC,1.6121842915163143,1.683419778250432,0.3382220958891171
s10,transport,6.8118540910072625,5.950832255167326,0.25233787965909116
s10,World GVC,0.5551220308698248,1.7148806179327059,0.7461584708254647
s1,transport,-7.265794482609152,10.51029929208635,0.48937556232522206
s1,World GVC,-0.08484721646821036,1.1599293461054039,0.9416878620362445
s2,transport,-13.554181864981501,31.46728046106047,0.66665822850698
s2,World GVC,-0.6319316648288242,0.6567055644981244,0.3359112405904128
s6,transport,-128.80790847085882,1847.96905026427,0.9444305183516928
s6,World GVC,-1.3701527261387065,1.3375043243600466,0.3056416884495752
s10,transport,48.556342444587244,289.4399056771136,0.8667723531159659
s10,World GVC,-1.0380635550030206,2.7591988022153537,0.7067539456310032
s1,transport,19.02977880779116,20.805021479947875,0.3603636409097195
s1,World GVC,-1.2916897385155348,2.149803759525297,0.547946048764208
s2,transport,-27.19685508811733,61.359850251278125,0.6575955077627977
s2,World GVC,1.3394975878783018,1.3161273641513174,0.30879354184934327
s6,transport,15.082769803816007,15.433839458904213,0.3284437903216595
s6,World GVC,2.0483674214222667,1.6986983211914346,0.22787713717866032
s10,transport,6.801627893260118,5.948462775097133,0.25286170009446174
s10,World GVC,1.5611715570124645,1.8199951395089864,0.3910090618570865
s1,transport,19.02977880779116,20.805021479947875,0.3603636409097195
s1,World GVC,-1.2916897385155348,2.149803759525297,0.547946048764208
s2,transport,-27.19685508811733,61.359850251278125,0.6575955077627977
s2,World GVC,1.3394975878783018,1.3161273641513174,0.30879354184934327
s6,transport,15.082769803816007,15.433839458904213,0.3284437903216595
s6,World GVC,2.0483674214222667,1.6986983211914346,0.22787713717866032
s10,transport,6.801627893260118,5.948462775097133,0.25286170009446174
s10,World GVC,1.5611715570124645,1.8199951395089864,0.3910090618570865
